Year,Make,Model,Seller,Location,VIN,Mileage,BodyStyle,Engine,Drivetrain,Transmission,ExteriorColor,InteriorColor,TitleStatus,SellerType,Price,Reserve,Horsepower,Torque
2000,Porsche,911,amosalik,"Dearborn, MI 48120",WP0AA2993YS620548,"161,700",Coupe,3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Violet Chromaflair,Brown,Clean (MI),Private Party,"$20,750",No reserve,"[('300', '')]",['258']
2007,Jaguar,XK,Happydog,"Palmyra, PA 17078",SAJWA43B275B12974,"18,200",Coupe,4.2L V8,Rear-wheel drive,Automatic (6-speed),Liquid Silver,Charcoal,Clean (PA),Private Party,"$20,000",Has reserve,"[('300', '')]",['310']
2001,Porsche,911,C_G,"Austin, TX 78728",WP0AA29971S623023,"45,900",Coupe,3.4L Flat 6,Rear-wheel drive,Manual (6-speed),Black,Black,Clean (TX),Private Party,"$19,800",Has reserve,"[('300', '')]",['258']
2013,BMW,335i,BMWGuy,"San Jose, CA 95125",WBA3A9C54DF686033,"45,200",Sedan,3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Estoril Blue Metallic,Black,Clean (CA),Private Party,"$19,000",Has reserve,"[('300', '')]",['300']
2016,BMW,435i,ibheat,"Marietta, GA 30062",WBA3R1C54GK529530,"47,600",Coupe,3.0L Turbocharged I6,Rear-wheel drive,Automatic (8-speed),Glacier Silver Metallic,Saddle Brown,Clean (GA),Private Party,"$18,500",Has reserve,"[('300', '')]",['300']
1991,Mitsubishi,3000GT,CarricksAutos,"Plano, TX 75093",JA3XE74C4MY006824,"38,200",Coupe,3.0L Turbocharged V6,4WD/AWD,Manual (5-Speed),Kutani Red Pearl,Cream,Clean (TX),Dealer,"$18,200",Has reserve,"[('300', '')]",['307']
2013,BMW,X5,bimmerguy702,"Las Vegas, NV 89166",5UXZV4C55D0B14039,"113,700",SUV/Crossover,3.0L I6,4WD/AWD,Automatic (8-Speed),Black Sapphire Metallic,Cinnamon,Clean (NV),Private Party,"$17,000",No reserve,"[('300', '')]",['300']
2008,BMW,135i,bimmerguy,"Lexington, KY 40502",WBAUC73528VF23432,"41,400",Coupe,3.0L I6,Rear-wheel drive,Manual (6-speed),Black Sapphire Metallic,Coral Red,Clean (KY),Private Party,"$16,825",Has reserve,"[('300', '')]",['300']
2000,Porsche,911,ULTIMATE_COLLECTOR,"Deerfield Beach, FL 33442",WP0CA2997YS652010,"108,200",Convertible,3.4L Flat 6,4WD/AWD,Automatic (5-speed),Arctic Silver ,Black,Clean (FL),Private Party,"$14,996",Has reserve,"[('300', '')]",['258']
1992,Dodge,Stealth,executive_blend,"Thomasville, NC 27360",JB3XE74C1NY012505,"36,200",Coupe,3.0L Turbocharged V6,4WD/AWD,Manual (5-Speed),Jet Black,Bone,Clean (NC),Private Party,"$13,000",Has reserve,"[('300', '')]",['307']
2007,Jaguar,XK,pstsabqnm,"Albuquerque, NM 87102",SAJWA43B875B08833,"77,900",Coupe,4.2L V8,Rear-wheel drive,Automatic (6-Speed),Liquid Silver,Charcoal,Clean (NM),Dealer,"$12,500",No reserve,"[('300', '')]",['310']
2010,BMW,535i,atlascafe,"Berkeley, CA 94710",WBAPT7C54AC237433,"70,500",Wagon,3.0L Turbocharged I6,4WD/AWD,Automatic (6-speed),Carbon Black Metallic,Oxyd Brown,Clean (CA),Private Party,"$12,100",Has reserve,"[('300', '')]",['300']
2009,BMW,335i,L0N_3NTHU51A5T,"DeKalb, IL 60115",WBAWB73599P158777,"79,200",Coupe,3.0L Turbocharged I6,Rear-wheel drive,Manual (6-speed),Alpine White,Black,Clean (IL),Private Party,"$11,900",Has reserve,"[('300', '')]",['300']
2005,Subaru,WRX STI,benelliwang,"Henderson, NV 89074",JF1GD70645L501856,"144,700",Sedan,2.5L Turbocharged Flat-4,4WD/AWD,Manual (6-Speed),Platinum Silver Metallic,Off-Black and Blue Escaine,Clean (NV),Private Party,"$11,800",Has reserve,"[('300', '')]",['300']
2007,Ford,Mustang,davidarbore,"Port St. Lucie, FL 34953",1ZVHT82H975239133,"46,400",Coupe,4.6L Supercharged V8,Rear-wheel drive,Manual (6-speed),Red and Black,Black,Clean (FL),Private Party,"$11,800",Has reserve,"[('300', '')]",['320']
1993,Chevrolet,Corvette,EuroasianBob,"Wichita, KS 67219",1G1YY33P0P5113166,"74,200",Convertible,5.7L V8,Rear-wheel drive,Automatic (4-speed),Bright Aqua Metallic,White,Clean (KS),Dealer (Euroasian Auto Inc.),"$11,517",Has reserve,"[('300', '')]",['340']
2000,Porsche,911,AlexAlbondiga,"South Miami, FL 33143",WP0CA2993YS650559,"90,570",Convertible,3.4L Flat 6,Rear-wheel drive,Manual (6-speed),Arctic Silver,Gray,Clean (FL),Private Party,"$11,500",Has reserve,"[('300', '')]",258 
2010,BMW,535i,Cars95,"San Diego, CA 92127",WBAPT7C52AC237463,"96,800",Wagon,3.0L Twin-Turbo I6,4WD/AWD,Automatic (6-Speed),Space Grey Metallic,Black,Clean (CA),Private Party,"$11,450",Has reserve,"[('300', '')]",['300']
2009,BMW,535i,zbyler,"Newington, CT 06111",WBANV93519CW51617,"78,800",Sedan,3.0L Turbocharged I6,4WD/AWD,Manual (6-Speed),Titanium Silver,Black,Clean (CT),Private Party,"$10,200",Has reserve,"[('300', '')]",['300']
2008,BMW,535xi,LongroofNY,"Hop Bottom, PA 18824",WBAPT73588CW98080,"176,500",Wagon,3.0L I6,4WD/AWD,Manual (6-Speed),Monaco Blue,Black,Clean (NY),Private Party,"$10,000",No reserve,"[('300', '')]",['300']
1993,Chevrolet,Corvette,Goodfellas_Garage,"Fort Lauderdale, FL 33309",1G1YY23P9P5120921,"49,350",Coupe,5.7L V8,Rear-wheel drive,Automatic (4-speed),Polo Green,Tan,Clean (FL),Dealer (Sales Tax & Title Fees),"$9,000",No reserve,"[('300', '')]",['340']
1998,Dodge,Ram,1982Bowtie,"Salem, OR 97303",1B7KC23W9WJ239691,"50,600",Truck,8.0L V10,Rear-wheel drive,Automatic (4-Speed),Metallic Red,Mist Gray,Clean (OR),Dealer,"$8,600",Has reserve,"[('300', '')]",['450']
1993,Chevrolet,Corvette,jrofla,"Trinity, FL 34655",1G1YY33P1P5118554,"58,200",Convertible,5.7L V8,Rear-wheel drive,Automatic (4-Speed),White,Red,Clean (FL),Private Party,"$8,400",No reserve,"[('300', '')]",['340']
2008,BMW,535xi,Twelvizm,"Portland, OR 97219",WBAPT73518CX01921,"114,300",Wagon,3.0L Turbocharged I6,4WD/AWD,Automatic (6-speed),Platinum Gray Metallic,Gray,Clean (OR),Private Party,"$7,877",Has reserve,"[('300', '')]",['300']
2006,Nissan,350Z,Rome13,"Bronx, NY 10465",JN1AZ34D06M331531,"99,900",Coupe,3.5L V6,Rear-wheel drive,Manual (6-Speed),Le Mans Sunset Metallic,Black,Clean (NY),Private Party,"$7,850",Has reserve,"[('300', '')]",['260']
2004,Audi,Allroad,amc08,"Chula Vista, CA 91913",WA1YL54B44N000301,"124,600",Wagon,4.2L V8,4WD/AWD,Automatic (5-Speed),Light Silver Metallic,Platinum Black and Cricket,Clean (CA),Private Party,"$4,500",No reserve,"[('300', '')]",['280']
2015,Lexus,GX 460,igi,"Galloway, OH 43119",JTJJM7FX8F5099066,"56,100",SUV/Crossover,4.6L V8,4WD/AWD,Automatic (6-Speed),Starfire Pearl,Black,Clean (OH),Private Party,"$30,000",Has reserve,"[('301', '')]",['329']
1995,Jaguar,XJS,AidanR,"Kimball Junction, UT 84098",SAJNX2347SC195030,"50,500",Convertible,6.0L V12,Rear-wheel drive,Automatic (4-Speed),Sapphire,Beige,Clean (UT),Private Party,"$10,237",Has reserve,"[('301', '')]",['347']
1995,Jaguar,XJS,Technowledge,"Jacksonville, FL 32225",SAJNX2341SC198943,"100,600",Convertible,V12,Rear-wheel drive,Automatic (4-Speed),Sapphire Blue,Light Cream,Clean (FL),Private Party,"$5,593",Has reserve,"[('301', '')]",['351']
2015,Mercedes-Benz,SLK350,Benzfan,"Winnipeg, MB, Canada",WDDPK5HA1FF111476,"9,200",Convertible,3.5L V6,Rear-wheel drive,Automatic (7-Speed),Fire Opal Red,Black,Clean (MB),Private Party,"$23,000",Has reserve,"[('302', '')]",['273']
2001,Mercedes-Benz,SL500,funwithcars,"Miller Place, NY 11764",WDBFA68F41F196024,"30,000",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-speed),Firemist Red,Java,Clean (MT),Private Party,"$19,750",Has reserve,"[('302', '')]",['339']
2016,BMW,535i,wgrabner1,"Leesburg, VA 20176",WBA5B3C52GG255563,"65,000",Sedan,3.0L Turbocharged I6,4WD/AWD,Automatic (7-Speed),Sophisto Grey,Black,Clean (VA),Private Party,"$18,500",Has reserve,"[('302', '')]",['295']
2000,Mercedes-Benz,SL500,Compact,"Millstone, NJ 08510",WDBFA68F2YF191382,"49,100",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-Speed),Black,Black,Clean (NJ),Dealer,"$18,300",Has reserve,"[('302', '')]",['339']
2002,Mercedes-Benz,SL500,cabernet_nut,"Winnetka, IL 60093",WDBFA68FX2F201292,"68,400",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-speed),Black,Black,Clean (IL),Private Party,"$14,800",Has reserve,"[('302', '')]",[]
1999,Mercedes-Benz,SL500,buymenow00,"Los Angeles, CA 90275",WDBFA68F2XF174922,"58,222",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-Speed),Brilliant Silver Metallic,Black,Clean (CA),Private Party,"$14,500",Has reserve,"[('302', '')]",['339']
2005,Mercedes-Benz,E500,ntrepid,"Great Falls, VA 22066",WDBUH83J15X167879,"78,900",Wagon,5.0L V8,4WD/AWD,Automatic (5-Speed),Midnight Blue,Amaretta Beige,Clean (MD),Private Party,"$13,800",No reserve,"[('302', '')]",['339']
2000,Mercedes-Benz,SL500,itwontstopsnowin,"Erie, PA 16415",WDBFA68F6YF188999,"105,200",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-Speed),Slate Blue,Dark Blue/Black,Clean (PA),Dealer,"$13,400",No reserve,"[('302', '')]",['339']
2000,Mercedes-Benz,SL500,SL_408,"San Jose, CA 95135",WDBFA68F2YF188272,"54,100",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-Speed),Brilliant Silver Metallic,Black,Clean (CA),Private Party,"$13,000",Has reserve,"[('302', '')]",['339']
2005,Mercedes-Benz,SL500,CameronB,"Arvada, CO 80007",WDBSK75F45F105006,"60,200",Convertible,5.0L V8,Rear-wheel drive,Automatic (7-speed),Alabaster White,Gray,Clean (CO),Private Party,"$11,400",Has reserve,"[('302', '')]",['339']
2005,Mercedes-Benz,E500,aka_raqeeb,"Chantilly, VA 20151",WDBUH83J85X184811,"143,100",Wagon,5.0L V8,4WD/AWD,Automatic (5-Speed),Andradite Green Metallic,Beige,Clean (VA),Private Party,"$10,750",Has reserve,"[('302', '')]",['339']
2000,Mercedes-Benz,SL500,itwontstopsnowin,"Erie, PA 16415",WDBFA68F6YF188999,"105,200",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-Speed),Slate Blue,Dark Blue/Black,Clean (PA),Dealer,"$10,000",No reserve,"[('302', '')]",['339']
2001,Mercedes-Benz,CL500,EEMOTIVE,"Redwood City, CA 94063",WDBPJ75J61A016980,"56,000",Coupe,5.0L V8,Rear-wheel drive,Automatic (5-Speed),Desert Silver Metallic,Java,Clean (CA),Private Party,"$9,500",No reserve,"[('302', '')]",['339']
2003,Mercedes-Benz,SL500,Rich37215,"Green Hills, TN 37215",WDBSK75F53F030765,"92,100",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-speed),Black,Black/Anthracite,Clean (TN),Private Party,"$8,600",No reserve,"[('302', '')]",['339']
2004,Mercedes-Benz,SL500,pinmaniac,"Jacksonville, FL 32207",WDBSK75F84F075684,"87,100",Convertible,5.0L V8,Rear-wheel drive,Automatic (7-speed),Brilliant Silver Metallic,Black/Anthracite,Clean (FL),Dealer,"$8,600",No reserve,"[('302', '')]",['339']
2006,Mercedes-Benz,CL500,Jcards,"Oakville, ON, Canada",WDBPJ75J56A047578,"79,400",Coupe,5.0L V8,Rear-wheel drive,Automatic (7-Speed),Brilliant Silver,Black,Clean (ON),Private Party,"$8,300",No reserve,"[('302', '')]",['339']
2001,Mercedes-Benz,SL500,mojocars,"Decatur, GA 30033",WDBFA68F41F198940,"98,100",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-Speed),Brilliant Silver Metallic,Ash,Clean (GA),Private Party,"$7,700",No reserve,"[('302', '')]",['339']
2006,Mercedes-Benz,SL500,Todd,"Dearborn, MI 48120",WDBSK75F36F108528,"86,700",Convertible,5.0L V8,Rear-wheel drive,Automatic (7-speed),Black,Anthracite,Clean (MI),Private Party,"$7,617",Has reserve,"[('302', '')]",['339']
2000,Mercedes-Benz,SL500,dtalanga,"New Port Richey, FL 34652",WDBFA68F0YF188979,"104,700",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-Speed),Magma Red,Black,Clean (FL),Dealer,"$7,600",No reserve,"[('302', '')]",['339']
2008,BMW,335xi,cporto777,"Raleigh, NC 27616",WBAWC73508E062172,"180,900",Coupe,3.0L Turbocharged I6,4WD/AWD,Manual (6-Speed),Titanium Silver Metallic,Gray,Clean (NC),Private Party,"$6,300",No reserve,"[('302', '')]",['295']
1994,Rolls-Royce,Silver Spur,chrisfc,"Kansas City, MO 64108",SCAZN02C5RCX54854,"149,700",Sedan,6.75L V8,Rear-wheel drive,Automatic (4-speed),Diamond Graphite,Silverstone,Clean (MO),Private Party,"$16,500",Has reserve,"[('304', '')]",['443']
2003,Ford,Mustang,orneryduck,"Peyton, CO 80831",1FAFP42RX3F453509,"135,200",Coupe,4.6L V8,Rear-wheel drive,Automatic (4-Speed),Dark Shadow Gray Metallic,Dark Charcoal,Clean (CO),Private Party,Cancelled,No reserve,"[('305', '')]",['320']
2017,Subaru,WRX STI,mgwhiz1974,"Cumming, GA 30506",JF1VA2M67H9809182,"10,600",Sedan,2.5L Turbocharged Flat-4,4WD/AWD,Manual (6-speed),Crystal Black Silica,Black and Red,Clean (GA),Private Party,"$26,666",Has reserve,"[('305', '')]",['290']
2012,Acura,TL,Carson89x,"Collegeville, PA 19426",19UUA9E52CA010827,"21,400",Sedan,3.7L V6,4WD/AWD,Manual (6-Speed),Crystal Black,Ebony,Clean (PA),Private Party,"$23,572",Has reserve,"[('305', '')]",['273']
2015,Subaru,WRX STI,gtravels,"San Antonio, TX",JF1VA2S69F9830275,"51,700",Sedan,2.5L Turbocharged Flat 4,4WD/AWD,Manual (6-speed),Ice Silver Metallic,Black,Clean (TX),Private Party,"$22,500",Has reserve,"[('305', '')]",['290']
2009,Subaru,WRX STI,TonySnark,"Newton, CT 06470",JF1GR89619L806764,"77,600",Hatchback,2.5L H4,4WD/AWD,Manual (6-speed),Silver,Black,Clean,Private Party,"$14,600",Has reserve,"[('305', '')]",['290']
2019,Honda,Civic,Unicorn_Hunter,"San Diego, CA 92126",SHHFK8G74KU204082,"2,700",Hatchback,2.0L Turbocharged I4,Front-wheel drive,Manual (6-Speed),Championship White,Red/Black Cloth,Clean (FL),Dealer (Hancock Automotive),"$32,000",Has reserve,"[('306', '')]",['295']
2017,Honda,Civic,Smails,"Windsor, CO 80550",SHHFK8G72HU200461,"4,424",Hatchback,2.0L Turbocharged I4,Front-wheel drive,Manual (6-speed),Crystal Black Pearl,Red and Black,Clean (CO),Private Party,"$30,750",Has reserve,"[('306', '')]",['295']
1991,BMW,M5,Lauterbach,"San Diego, CA 92103",WBSHD9312MBK06228,"171,900",Sedan,3.6L I6,Rear-wheel drive,Manual (5-speed),Alpine White II,Light Silver Gray,Clean (CA),Private Party,"$20,222",Has reserve,"[('310', '')]",['265']
2013,Audi,A7,lefthandedhex,"Easton, CT 06612",WAU3GAFC1DN029724,"85,900",Hatchback,3.0L Supercharged V6,4WD/AWD,Automatic (8-Speed),Phantom Black,Black,Clean (CT),Private Party,"$18,500",Has reserve,"[('310', '')]",['325']
2007,Volkswagen,Touareg,switchcars,"Twinsburg, OH 44087",WVGPT77L97D006229,"175,600",SUV/Crossover,5.0L Turbodiesel V10,4WD/AWD,Automatic (6-speed),Black,Beige,Clean (OH),Dealer,"$13,300",Has reserve,"[('310', '')]",['553']
1991,BMW,M5,pooyanjavan,"Citrus Heights, CA 95610",WBSHD9318MBK05083,"152,500",Sedan,3.6L I6,Rear-wheel drive,Manual (5-Speed),Jet Black,Silver-Gray,Clean (CA),Private Party,"$11,800",No reserve,"[('310', '')]",['265']
2004,Volkswagen,Touareg,BendEngineering,"Bend, OR 97701",WVGPZ77L84D086455,"132,700",SUV/Crossover,5.0L V10,4WD/AWD,Automatic (6-Speed),Silver,Black,Clean (OR),Private Party,"$6,100",No reserve,"[('310', '')]",['553']
2010,Ford,Taurus,LateMidLife,"Sandown, NH 03873",1FAHP2KTXAG118265,"106,500",Sedan,3.5L Turbocharged V6,4WD/AWD,Automatic (6-Speed),Diamond White Metallic,Black,Clean (NH),Private Party,"$11,000",Has reserve,"[('312', '')]",['336']
1987,Mazda,RX-7,oldzion76,"Cookeville, TN 38501",JM1FC3324H0152259,"64,700",Coupe,1.3L Turbocharged Rotary,Rear-wheel drive,Manual (5-speed),Black,Grey,Clean (TN),Private Party,"$6,900",Has reserve,"[('314', ''), ('182', '')]",195 
2002,Porsche,911,Pcleez,"Atlanta, GA 30305",WP0AA29942S622381,"55,169",Coupe,3.6L Flat 6,4WD/AWD,Manual (6-speed),Seal Gray,Metropol Blue,Clean (GA),Private Party,"$31,500",Has reserve,"[('314', '')]",['273']
2002,BMW,M Coupe,Sheltie_Shuttle,"Eugene, OR 97401",5UMCN93482LK61228,"15,400",Hatchback,3.2L I6,Rear-wheel drive,Manual (5-speed),Titanium Silver,Black,Clean (OR),Dealer,"$35,750",Has reserve,"[('315', '')]",251 
1995,Mercedes-Benz,SL500,kzw211,"Los Angeles, CA 91307",WDBFA67E1SF117080,"94,900",Convertible,5.0L V8,Rear-wheel drive,Automatic (4-speed),Tourmaline Green Metallic,Beige,Clean (CA),Dealer,"$10,500",No reserve,"[('315', '')]",345 
1999,Mercedes-Benz,S500,AlexMpower,"Frankfort, IL 60423",WDBGA51G8XA411878,"141,400",Sedan,5.0L V8,Rear-wheel drive,Automatic (5-Speed),Obsidian Black,Parchment,Clean (VA),Private Party,"$9,500",No reserve,"[('315', '')]",['347']
1997,Mercedes-Benz,SL500,lptoland88,"Atlanta, GA 30319",WDBFA67F5VF147938,"110,000",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-Speed),Polar White,Beige,Clean (GA),Dealer,"$8,700",Has reserve,"[('315', '')]",['345']
1998,Mercedes-Benz,SL500,Laflerd,"Dallas, TX 75204 ",WDBFA67F9WF167336,"84,400",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-Speed),Smoke Silver Metallic,Beige,Clean (TX),Private Party,"$8,500",No reserve,"[('315', '')]",['343']
1996,Mercedes-Benz,S500,bertherbert,"West Chester, OH 45069",WDBGA70E0TA325485,"102,500",Coupe,5.0L V8,Rear-wheel drive,Automatic (5-speed),Black,Black,Clean (OH),Private Party,"$6,750",No reserve,"[('315', '')]",['347']
1996,Mercedes-Benz,SL500,threepointstar,"Oceano, CA 93445",WDBFA67F0TF129179,"121,300",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-speed),Black,Black,Clean (CA),Private Party,"$6,200",No reserve,"[('315', '')]",['347']
1997,Mercedes-Benz,SL500,marf928,"Vista, CA 92084",WDBFA67F8VF147528,"149,700",Convertible,5.0L V8,Rear-wheel drive,Automatic (5-speed),Polar White,Black,Clean (CA),Private Party,"$6,000",Has reserve,"[('315', '')]",['345']
1988,Porsche,928,Taormina,"San Juan Capistrano, CA 92675",WP0JB0924JS860850,"54,500",Coupe,5.0L V8,Rear-wheel drive,Manual (5-Speed),Venetian Blue Metallic,Gray,Clean (CA),Private Party,"$16,900",Has reserve,"[('316', '')]",['317']
1988,Porsche,928,Suitsken,"Calgary, Alberta, Canada",WP0JB0923JS861231,"117,900",Coupe,5.0L V8,Rear-wheel drive,Automatic (4-Speed),Schwartz Black,Black,Clean (Alberta),Private Party,"$9,400",No reserve,"[('316', '')]",['317']
1999,Ford,Mustang,PENNELLAUTOSALES,"Houston, TX 77091",1FAFP46V6XF164124,"43,400",Convertible,4.6L V8,Rear-wheel drive,Manual (5-Speed),Ultra White,Dark Charcoal,Clean (TX),Dealer,"$12,200",Has reserve,"[('320', ''), ('60', '')]","['317', '15']"
1999,Ford,Mustang,Flakbird,"Colorado Springs, CO 80918",1FAFP46V8XF184407,"101,500",Convertible,4.6L V8,Rear-wheel drive,Manual (5-Speed),Rio Red,Saddle,Clean (CO),Private Party,"$9,500",No reserve,"[('320', ''), ('60', '')]","['317', '15']"
1994,Toyota,Supra,BChowdhry,"Las Vegas, NV 89145",JT2JA82J7R0009323,"120,000",Coupe,3.0L Turbocharged I6,Rear-wheel drive,Automatic (4-Speed),Black,Tan,Clean (NV),Private Party,"$42,000",Has reserve,"[('320', '')]",['315']
2018,BMW,340i,mrrrr2,"Rocky Hill, CT 06067",WBA8B7G56JNU95037,"18,600",Sedan,3.0L Turbocharged I6,4WD/AWD,Automatic (8-speed),Tanzanite Blue Metallic,Black Dakar Leather,Clean (CT),Private Party,"$38,500",Has reserve,"[('320', '')]",['330']
1999,Mitsubishi,3000GT,wmdeloach,"Orlando, FL 32811",JA3AN74K3XY003365,"68,600",Coupe,3.0L Turbocharged V6,4WD/AWD,Manual (6-speed),Glacier White Pearl,Tan,Clean (FL),Private Party,"$34,750",Has reserve,"[('320', '')]",['315']
2003,Porsche,911,Godspeed,"Fairfield, OH 45014",WP0CA29953S651706,"85,300",Convertible,3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Orient Red Metallic,Graphite Grey,Clean (OH),Private Party,"$29,000",Has reserve,"[('320', '')]",['273']
2003,Porsche,911,VBAutosports,"Vero Beach, FL 32960",WP0CA29993S652504,"34,100",Convertible,3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Black,Black,Clean (FL) ,Dealer,"$28,250",Has reserve,"[('320', '')]",['273']
2016,BMW,M235i,Doc_G,"Norwalk, OH 44857",WBA1J7C5XGV289688,"50,100",Coupe,3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Estoril Blue Metallic,Terra Cotta,Clean (OH),Private Party,"$25,000",No reserve,"[('320', '')]",['330']
2016,BMW,M235i,AMC,"San Francisco, CA 94134",WBA1M1C50GV394745,"28,100",Convertible,3.0L Turbocharged I6,Rear-wheel drive,Automatic (8-Speed),Mineral Gray Metallic,Black,Clean (CA),Dealer,"$24,300",Has reserve,"[('320', '')]",['330']
2004,Porsche,911,zenocchio,"Vancouver BC, Canada",WP0CA299X4S650178,"99,500",Convertible,3.6L Flat-6,4WD/AWD,Manual (6-Speed),Black,Black,Clean (BC),Private Party,"$24,100",Has reserve,"[('320', '')]",['273']
2017,BMW,340i,SimonTurner,"Trabuco Canyon, CA 92679",WBA8B3C33HK777614,"42,400",Sedan,3.0L Turbocharged I6,Rear-wheel drive,Automatic (8-Speed),Mineral Gray Metallic,Coral Red,Clean (CA),Private Party,"$23,500",Has reserve,"[('320', '')]",['330']
2016,BMW,340i,tedfous,"Hermosa Beach, CA 90254",WBA8B3C5XGK384273,"41,000",Sedan,3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Black Sapphire Metallic,Black,Clean (IL),Private Party,"$22,745",Has reserve,"[('320', '')]",['332']
2000,Qvale,Mangusta,pinmaniac,"Jacksonville, FL 32207",ZF4AH01A8YM000119,"17,700",Convertible,4.6L V8,Rear-wheel drive,Manual (5-Speed),Nero,Tan,Clean (MI),Dealer,"$22,000",Has reserve,"[('320', '')]",['314']
1987,Porsche,928,HGS,"Chicago, IL 60618",WP0JB0920HS862475,"112,620 Miles Shown - TMU",Coupe,4.5L V8,Rear-wheel drive,Manual (5-Speed),Grand Prix White,Black,Clean (IL),Private Party,"$14,000",Has reserve,"[('320', '')]",['317']
1987,Porsche,928,EEMOTIVE,"Redwood City, CA 94063",WP0JB0920HS862153,"150,100",Coupe,5.0L V8,Rear-wheel drive,Automatic (4-Speed),Granite Green,Gray and Brown,Clean (CA),Private Party,"$13,928",Has reserve,"[('320', '')]",['317']
2014,Cadillac,CTS,ek9000,"Island Lake, IL 60042",1G6AY5S37E0141935,"92,400",Sedan,3.6L V6,4WD/AWD,Automatic (6-Speed),Majestic Plum Metallic,Kona Brown,Clean (SC),Private Party,"$11,600",Has reserve,"[('321', '')]",['275']
1995,Jaguar,XJR,rittmeister,"Irving, TX 75038",SAJPX1147SC746790,"196,400 Miles Shown - TMU",Sedan,4.0L Supercharged I6,Rear-wheel drive,Manual (5-Speed),Black,Beige,Clean (TX),Private Party,"$6,299",No reserve,"[('322', '')]",['378']
2014,Porsche,Cayman,BrantyB,"Orinda, CA 94563",WP0AB2A89EK192822,"36,600",Coupe,3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Rhodium Silver Metallic,Yachting Blue,Clean (CA),Private Party,"$41,500",Has reserve,"[('325', '')]",['272']
2014,Porsche,Cayman,davebywater,"Morrisville, PA 19067",WP0AB2A82EK193875,"19,100",Coupe,3.4L Flat-6,Rear-wheel drive,Automatic (7-Speed),Black,Luxor Beige,Clean (PA),Private Party,"$41,500",Has reserve,"[('325', '')]","['77', '272']"
2007,Hummer,H2,mrvictory1999,"Cleburne, TX 76033",5GRGN23U87H108175,"20,800",SUV/Crossover,6.0L V8,4WD/AWD,Automatic (4-Speed),Victory Red,Black,Clean (TX),Private Party,"$40,007",No reserve,"[('325', '')]",['365']
2004,BMW,545i,xpa1838,"Los Angeles, CA 91436",WBANB335X4B088071,"22,900",Sedan,4.4L V8,Rear-wheel drive,Manual (6-Speed),Mystic Blue Metallic,Beige,Clean (CA),Private Party,"$13,045",No reserve,"[('325', '')]",['330']
2004,BMW,645i,NicLizD,"Tucker, GA 30084",WBAEH73424B215182,"90,700",Coupe,4.4L V8,Rear-wheel drive,Manual (6-Speed),Black Sapphire Metallic,Black,Clean (GA),Private Party,"$10,645",Has reserve,"[('325', '')]",['330']
2005,BMW,645i,JDD,"Knoxville, TN 37920",WBAEH73435B216231,"60,700",Coupe,4.4L V8,Rear-wheel drive,Manual (6-Speed),Titanium Silver Metallic,Black,Clean (TN),Private Party,"$9,400",No reserve,"[('325', '')]",['330']
2005,BMW,545i,brobrit,"Rochester Hills, MI 48307",WBANB33505B089313,"52,800",Sedan,4.4L V8,Rear-wheel drive,Manual (6-Speed),Orient Blue Metallic,Auburn,Clean (MI),Private Party,"$8,500",Has reserve,"[('325', '')]",['330']
2012,Volvo,S60,mllmbert,"Yuma, AZ 85365",YV1902FH4C2143049,"108,700",Sedan,3.0L Turbocharged V6,4WD/AWD,Automatic (6-Speed),Passion Red,Black,Clean (TN),Private Party,"$8,100",Has reserve,"[('325', '')]",['354']
2015,Mercedes-Benz,E400,RickInCincy,"Cincinnatti, OH 45248",WDDKK6FF1FF305987,"63,000",Convertible,3.0L Turbocharged V6,Rear-wheel drive,Automatic (7-Speed),Black,Black,Clean (OH),Private Party,"$15,100",Has reserve,"[('329', '')]",['354']
2012,Porsche,Cayman,PorscheR,"Plainfield, IN 46168",WP0AB2A88CS793202,"38,600",Coupe,3.4L Flat-6,Rear-wheel drive,Manual (6-speed),Black,Carrera Red/Black,Clean (IN) ,Private Party,"$49,999",Has reserve,"[('330', '')]",['273']
2006,BMW,M Coupe,Bugsy11708,"Delhi, NY 13753",5UMDU93446LL93111,"97,400",Coupe,3.2L I6,Rear-wheel drive,Manual (6-Speed),Titanium Silver Metallic,Black,Clean (NY),Private Party,"$21,300",Has reserve,"[('330', '')]",['262']
